ID,Why_Stopped,Enrollment_Count,Primary_Outcome_Measure
P.T.REC/012/002968,,60,"Fatigue assessment scale, Fatigue assessment scale, Fatigue assessment scale, Hemoglobin level test for fatigue assessment, Hemoglobin level test for fatigue assessment, Hemoglobin level test for fatigue assessment, White blood cells count test for immunity assessment, White blood cells count test for immunity assessment, White blood cells count test for immunity assessment"
IIT-2021-ASSET,,18,Recommended phase II dose (RP2D) of alpelisib + sacituzumab govitecan
MC200302,,165,"Association of peripheral blood immune phenotypes with pathological complete response, Difference of peripheral blood immune phenotypes"
4-2020-1131,,206,Progression-free survival
145358,,100,"Specific Aim 1, Specific Aim 2, Specific Aim 3, Specific Aim 4, Specific Aims 5"
UMCC 2018.016,,66,Number of Breast Cancer Patients Successfully Recruited to Participate in the Study
TP.102.17.22.PAR,,103,"Assess the detectability rate of malignant and benign breast lesions., Assess the potential for differentiation between malignant and benign breast lesions, using Wavelia MBI."
EFC15935,,1068,Progression-free survival
BC-NEO-IIT-SHR6390,,20,"Changes in Ki67 scores, RCB (0-1) after surgery"
GDWCH-001,,73,Progression Free Survival (PFS)
S2010,,540,Persistence with initially prescribed oral estrogen (ET) medication
SMC-2018-10-062,,44,"satisfaction score in app contents, Needs score in app contents, DASH (Disabilities of Arm, Shoulder, Hands)"
SMX 18001,,100,Progression-Free Survival (PFS)
A5481154,,42,Overall survival (OS)
TEBICA002,,5,Adverse effects and Safety
CWCD118B12201,,250,Progression-free Survival (PFS) based on investigator assessment using RECIST 1.1 criteria in Arm A and B
22-002857,,10,Long-term efficacy of the twinkling marker
CALORIE,,50,"Event Free Survival(DFS), Overall Survival(OS)"
IFOM-CPO007/2019/PO006,,500,"Number of patients recruited in TIER0 and TIER 1, Number of patients recruited in TIER2"
S-detect 2019,,1200,Benign or malignant lesions as determined by pathology
AABCSR,,110,"Examine stress reactivity among African American Breast Cancer Survivors utilizing cortisol., Examine stress reactivity among African American Breast Cancer Survivors utilizing vital signs., Examine the association between levels of stress reactivity and stressors as it relates to socioeconomic status, clinical factors, and social stress, Examine glucocorticoid sensitivity as a potential predictor of stress reactivity, Examine stress reactivity on temporal discounting, Determine the extent to which active engagement with a stressor is associated with adherence to dietary recommendations for cancer control, Determine the extent to which active engagement with a stressor is associated with adherence to physical activity recommendations for cancer control"
NRG-BR008,,1300,recurrence-free interval (RFI)
FMSU2017-002B,,300,Compare Per Subject AUC: DBT Plus S-View Versus FFDM
2019-A01592-55,an interim analysis was provided for in the protocol. The results are unsatisfactory,450,Evaluate the sensitivity and specificity of canine odorology in women with breast lesion
ABY-025-MI301,,160,"HER2- expression by using 68Ga-ABY-025 PET., HER2-expression by analysing biopsy sample."
202202045MIPA,,300,CT or MRI assessment
22-07025006,,76,"Recruitment Success Ratio, Intervention Completion Success Ratio, Data Collection Success Ratio, Patient Questionnaire: Self-report of intervention feasibility, Provider Questionnaire: Self-report of intervention feasibility, Patient Questionnaire: Self-report of intervention acceptability, Provider Questionnaire: Self-report of intervention acceptability, Patient Questionnaire: Self-report of intervention appropriateness, Provider Questionnaire: Self-report of intervention appropriateness, Ratio of patients who receive a summary document at the end of the intervention, Number of in-person, virtual or phone contacts with the NP"
2019/044,,25,"Change in body weight, Change in body mass indexs, Change in fat mass measured by bioelectrical impedance analyzer, Change in fat-free mass measured by bioelectrical impedance analyzer, Change in resting metabolic rate (RMR) measured by bioelectrical impedance analyzer, Change in interleukin 6 (IL-6), Change in tumor necrosis factor alpha (TNF-α), Change in malondialdehyde (MDA), Change in total antioxidant status (TAS), Change in total oxidant status (TOS)"
B2017-11,,180,pathologic complete response rate
2022-0651,,1000,To identify female MDACC patients with dense breasts who undergo contrast-enhanced mammography
Pro00088926,,314,Number of women who completed a breast MRI and mammogram
Tmab-TK006-102b,,30,Incidence of adverse events（AEs）which are related to TK006 treatment throughout the study
YOUNGBC-10,,97,"PFS, Adverse events"
Ahead-BC-20170323,,30,Overall survival (OS)
21090645,,88,"Change of Nutritional status, as assessed by Body Mass Index, Change of body weight, Change of Muscle Mass Status, Change of Nutritional Status Condition, as assessed by the Patient-Generated Subjective Global Assessment PG-SGA, Change of Total Scale and Single-item measures Scores derived from the Quality of life questionnaire (QLQ C-30) assessment, Change of Blood inflammatory markers of blood TNF-α levels, Change of Blood inflammatory markers of blood CRP levels, Change of Nutritional Status Assessed by body weight levels"
18-0234,,88,Medication adherence assessed by electronic pillbox (Wisepill box)
20-1434.cc,,89,"Number of participants with changes implemented to breast cancer treatment, Number of participants with treatment concerns during COVID-19 pandemic, Number of participants with effects of COVID-19 on psychological, social, and physical well-being of breast cancer patients"
P20CA217199-9492018,,64,"Change in participants physical activity levels"", ""Change in participants motivation to engage in physical activity"", ""Change in participants quality of life"", Acceptability of My Body"
Pro00107216,The PI is leaving Duke for a position in another state.,0,"Adherence to the intermittent fasting program, Change in body fat"
HREBA.CC 19-0363,,12,Completion rate
AHQU-2021004,,52,The change in stiffness score as measured by the Western Ontario and McMasters Universities Osteoarthritis (WOMAC)
H20-03123,,132,Physical Function
CSPC-KAL-AE-01,,1000,Percentage and severity of Participants With Adverse Events (AEs)
SYS-C-201801-5010,,210,Progression free survival (PFS)
SCBCG-021,,2000,Pregnancy outcome
15-017,,190,Cardiotoxicity
ZN-c5-003,,14,Incidence and severity of adverse events from ZN-c5 in combination with abemaciclib
114421,,100,InCharge Financial Distress/Financial Well-being Scale
M14ABC,"Not enough eligble patient can be found, too many screen failures",9,Progression free survival
CLIN-52014-452,,419,Proportion of participants reaching a clinically significant change in the global Quality of Life (QoL) score.
18-004803,Limited operating room availability,1,"Evaluate if Magseed is a Viable Alternative to Radioactive Seed as a Localization Method for Biopsy Proven Metastatic Breast Carcinoma Following Neoadjuvant Chemotherapy., Assess the Success of Retrieval of the Magseed and Biopsy Proven Metastatic Lymph Node in the Operating Room Compared to the Current Practice With the Radioactive Seed."
34615/4/21,,66,"Tumor Response, Change in ki67 level, Change in P-gp level"
CLAG525B2101,,88,Overall Response Rate (ORR) Per Investigators Assessment According to RECIST v1.1
MINERVA,,300,Progression Free Survival (PFS)
LACOG 0419,,494,Invasive disease-free survival (IDFS)
CHB18.04,,14,Assessment of Sexual Health
CSIIT-C21,,70,Overall Response Rate (ORR)
BOOG 2018-01,,462,Event free survival at three years
AMC2020-17,,160,Shoulder pain
KY20222062-C-1,,20,Pathological complete response rate (pCR)
RCVDBCIIR005,,20,Pathological complete response rate (pCR) (ypT0/is N0)
20201540,,45,False Negative Rate
STUDY00003282,,50,Objective Response Rate (ORR)
IRB-2022-348,,116,the quality of recovery-15 questionnaire (QoR-15)
LCCC 1639,Funding withdrawn.,5,Decrease in Ki-67 mRNA following treatment with entinostat across TNBC breast cancers
SCHBCC-N034,,356,iDFS
2022-0431,,25,"Incidence of Adverse Events, Graded According to National Cancer Institute Common Terminology Criteria for Adverse Events (NCI CTCAE) Version (v) 5.0"
CBYL719C1201,,50,"[Part 1] The incidence of Dose Limiting Toxicities (DLTs) of alpelisib in combination with fulvestrant, [Part 2] Overall Response Rate (ORR) in CDK4/6 inhibitor naive participants"
SYSA1802-CSP-006,,79,Objective response rate (ORR)
201805027RSA,,2000,Prevalence of unique genetic alterations
KY2022-097-B,,172,Progression-Free Survival (PFS)
KY2019-023,,53,pCR
GE-226-004,,12,"Specific absorbed dose to the target lesions, specific absorbed dose per organ, and total effective dose of [18F]GEH121224., Change in injection site status following administration of [18F]GEH121224, Occurrence of Adverse Events (AEs) following administration of [18F]GEH121224, Changes in heart rate as beats per minute following administration of [18F]GEH121224, Changes in blood pressure in mmHg following administration of [18F]GEH121224, Changes in temperature as degree C following administration of [18F]GEH121224, Changes in respiration rate as breaths per minute following administration of [18F]GEH121224, Change from baseline in the results of 12-lead electrocardiograms (ECGs) following administration of [18F]GEH121224"
MEDOPP447,Funder decided to not continue the study,0,Efficacy (Overall Response Rate (ORR))
2021P002871,,300,"Change in Participation satisfaction in social roles and activities: PROMIS, Change in Participation ability in social roles and activities, Change in productivity, Change in work productivity"
CABC - Kreftfor project - SEB,,390,Stress
201708076,,30,"Feasibility of enrolling patients to larger randomized controlled trial using yoga and mindful movement as measured the number of eligible patients enrolled, Feasibility of conducting a larger randomized trial using yoga and mindful movement, Efficacy of yoga exercise as measured by weight change from baseline to completion"
TWT-203,,44,"To assess the incidence of adverse events of CFI-402257 as a single agent and at the recommended phase 2 dose (RP2D), To assess the incidence of adverse events of CFI-402257 in combination with fulvestrant and at the recommended phase 2 dose (RP2D)"
Radiodermatitistalita60,,60,"Toxicity criteria of the Radiation Therapy Oncology Group Scale (RTOG Scale), Lesion Size"
CO41101,,242,"Investigator-assessed Progression Free Survival (PFS), Overall Survival (OS)"
EA1183,,134,Performance of fludeoxyglucose F-18 (FDG)-positron emission tomography (PET)/computed tomography (CT) response criteria as a binary predictor of progression-free survival (PFS)
WO42312,,303,"Progression-Free Survival (PFS), as Determined by the Investigator According to Response Evaluation Criteria in Solid Tumors, Version 1.1 (RECIST v1.1)"
MEDOPP367,,30000,Prevalence of HER2 expression change between initial diagnosis versus any of the subsequent BC relapses
YXH2022ZX02167,,112,Pathological complete remission (pCR)
NHP,,50,pCR
JU 2020/1732-51,,80,"Change in distress, Change in distress, Change in distress"
NL69081.041.19,,120,Change in breast/chest wall pain: EORTC QLQ-BR23 questionnaire
NCCH1607,,180,Progression-free survival (PFS)
AAAS2359,,90,"Feasibility of measuring pre/post-intervention change in participants breast tissue concentration of lipid (mg/cm^3) measured using an Optical Spectroscopy machine."", ""Feasibility of measuring pre/post-intervention change in participants breast tissue concentration of water (mg/cm^3) measured using an Optical Spectroscopy machine."", ""Feasibility of measuring pre/post-intervention change in participants breast tissue concentration of collagen (mg/cm^3) measured using an Optical Spectroscopy machine."", ""Feasibility of measuring pre/post-intervention change in participants breast tissue concentration of total hemoglobin (μM) measured using an Optical Spectroscopy machine."", ""Feasibility of measuring pre/post-intervention change in participants breast tissue concentration of oxygenated hemoglobin (%) measured using an Optical Spectroscopy machine."", Feasibility of measuring pre/post-intervention change in urinary metabolites of endocrine disrupting chemicals, including polycyclic aromatic hydrocarbons (PAH), phthalates, and parabens (all measured in μg/L units) ."
21-06023682,,400,establish a live biobank for triple negative breast cancer patients
HSEARS20210816002,,76,"Change from Baseline Score of the Strategies Used by People to Promote Health (SUPPH) at week 3 (T1) and week 6 (T2), Acceptability"
