ID,title,status,study_type,arm_group_type,intervention_type,interventional_type_model,phase,fda_regulated_drug,fda_regulated_device
16-007764,Estrogen Receptor Expression in Breast Cancer - Assessed With Positron Emission Mammography,Withdrawn,Interventional,Other,"Diagnostic Test, Diagnostic Test",Single Group Assignment,Not Applicable,No,Yes
114421,Understanding and Addressing Patient and Provider Preferences Around Discussions of Cost of Breast Cancer Care,Completed,Interventional,"No Intervention, Experimental",Other,Parallel Assignment,Not Applicable,No,No
18-621,Tucatinib + Abemaciclib + Herceptin for HER2+ MBC,Withdrawn,Interventional,"Experimental, Experimental, Experimental, Experimental","Drug, Drug, Drug, Drug",Sequential Assignment,Phase 1,Yes,No
IRB-59141,Talazoparib Monotherapy in PALB2 Mutation Associated Advanced Breast Cancer,Recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,Yes,No
STOP-BC Trial,Sulindac and Breast Density in Women at Risk of Developing Breast Cancer,Recruiting,Interventional,"Active Comparator, Placebo Comparator","Drug, Drug",Parallel Assignment,Phase 2,Yes,No
SYSU005,Fulvestrant Plus Anlotinib in HR(+)/HER2(-) Metastatic Breast Cancer With FGFR Mutation,Recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No
ZN-c5-002,A Study of ZN-c5 in Participants With Breast Cancer,Completed,Interventional,Experimental,Drug,Single Group Assignment,Phase 1,Yes,No
Fudan University,NX in Luminal B Breast Cancer Patients After Neoadjuvant Chemotherapy,Unknown status,Interventional,"Experimental, No Intervention","Drug, Drug",Parallel Assignment,Phase 3,No,No
18-8214-BO,Effectiveness of Ear Acupuncture to Improve Insomnia in Women With Breast Cancer,Completed,Interventional,"Experimental, Active Comparator","Procedure, Behavioral",Parallel Assignment,Not Applicable,No,No
1711-048-898,Unnecessary Mastectomy Due to False Size Prediction by Preoperative Imaging Studies in Breast Cancer,Recruiting,Interventional,"Experimental, Active Comparator",Diagnostic Test,Parallel Assignment,Not Applicable,No,No
HR-BLTN-001,Pyrotinib Combined With Docetaxel in the First-line Treatment of HER2-positive MBC,Unknown status,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No
2021-A03091-40,Evaluation of the Interest of a Postural and Functional Analysis for the Follow-up of the Adapted Motor Activity of Patients Treated for Breast Cancer,Not yet recruiting,Interventional,Experimental,Other,Single Group Assignment,Not Applicable,No,No
P.T.REC/012/002968,RESISTANCE VERSUS AEROBIC EXERCISES ON Breast Cancer Patients,Unknown status,Interventional,"Active Comparator, Active Comparator","Device, Other",Parallel Assignment,Not Applicable,No,No
IIT-2021-ASSET,Alpelisib And Sacituzumab Govitecan For Treatment Of Breast Cancer,Recruiting,Interventional,"Experimental, Experimental, Experimental","Drug, Drug",Sequential Assignment,Phase 1,Yes,No
4-2020-1131,Talazoparib Maintenance Therapy in Triple-negative Breast Cancer,Not yet recruiting,Interventional,"Experimental, Active Comparator","Drug, Drug",Parallel Assignment,Phase 2,No,No
145358,"A Phase I/II Multicenter, Open-Label Study of Lu-177-αvβ3-IAC, for the Treatment of Angiogenic Breast Cancer Patients.",Not yet recruiting,Interventional,Experimental,Drug,Single Group Assignment,"Phase 1, Phase 2",Yes,No
UMCC 2018.016,The ConnectedCancerCare Pilot Study (CCC),Completed,Interventional,"Experimental, Other","Behavioral, Behavioral",Parallel Assignment,Not Applicable,No,No
TP.102.17.22.PAR,Pilot Clinical Evaluation of a Microwave Imaging System for Breast Cancer Detection,Recruiting,Interventional,Experimental,Device,Single Group Assignment,Not Applicable,No,No
EFC15935,Amcenestrant (SAR439859) Plus Palbociclib as First Line Therapy for Patients With ER (+) HER2(-) Advanced Breast Cancer,"Active, not recruiting",Interventional,"Experimental, Active Comparator","Drug, Drug, Drug, Drug, Drug, Drug",Parallel Assignment,Phase 3,Yes,No
BC-NEO-IIT-SHR6390,SHR6390 Combined With Anastrozole for Preoperative Treatment of Breast Cancer.,Completed,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No
GDWCH-001,Tucidinostat and Fulvestrant in Hormone-receptor Positive Advanced Breast Cancer,Not yet recruiting,Interventional,Experimental,"Drug, Drug",Single Group Assignment,Phase 2,No,No
SMC-2018-10-062,Feasibility of a Modular mHealth for Tailored Rehabilitation of Breast Cancer,Completed,Interventional,"Experimental, No Intervention",Behavioral,Parallel Assignment,Not Applicable,No,No
SMX 18001,Evaluation of Lasofoxifene Versus Fulvestrant in Advanced or Metastatic ER+/HER2- Breast Cancer With an ESR1 Mutation,"Active, not recruiting",Interventional,"Experimental, Active Comparator","Drug, Drug",Parallel Assignment,Phase 2,Yes,No
NRG-BR008,Testing Radiation and HER2-targeted Therapy Versus HER2-targeted Therapy Alone for Low-risk HER2-positive Breast Cancer,"Active, not recruiting",Interventional,"Active Comparator, Active Comparator","Radiation, Drug",Parallel Assignment,Phase 3,No,No
TEBICA002,Breast Cancer Neoantigen Vaccination With Autologous Dendritic Cells,Completed,Interventional,Experimental,Biological,Single Group Assignment,Phase 1,No,No
CWCD118B12201,Phase II Study Evaluating the Efficacy and Safety of Ociperlimab in Combination With Tislelizumab and Chemotherapy as First-line Treatment for Participants With Advanced Triple Negative Breast Cancer,Not yet recruiting,Interventional,"Experimental, Active Comparator, Active Comparator, Other","Drug, Drug, Drug, Drug, Drug, Drug, Drug, Drug",Parallel Assignment,Phase 2,Yes,No
CALORIE,Capecitabine in the Treatment of Breast Cancer With Low-hormone Receptor Expression After Neoadjuvant Chemotherapy,Unknown status,Interventional,"Experimental, Placebo Comparator","Drug, Drug",Parallel Assignment,Not Applicable,No,No
S2010,"Monitoring Symptoms to Help Young Women Take Hormone Therapy for Stage I-III Breast Cancer, ASPEN Study",Recruiting,Interventional,"Experimental, Active Comparator","Other, Procedure, Procedure, Behavioral, Other, Other",Parallel Assignment,Not Applicable,No,No
2019-A01592-55,Transcutaneous Breast Cancer Diagnosis by Canine Odorology,Suspended,Interventional,Experimental,Diagnostic Test,Single Group Assignment,Not Applicable,No,No
ABY-025-MI301,A Study of 68Ga-ABY-025 PET for Non-invasive Quantification of HER2-expression in Advanced Breast Cancer,Recruiting,Interventional,Experimental,Diagnostic Test,Single Group Assignment,Not Applicable,No,No
202202045MIPA,Olaparib Maintenance Therapy in Metastatic Breast Cancer,Recruiting,Interventional,"Experimental, Active Comparator","Drug, Drug",Parallel Assignment,Phase 2,No,No
22-07025006,Diabetes Care for Breast Cancer Patients,Recruiting,Interventional,"Experimental, No Intervention",Behavioral,Parallel Assignment,Not Applicable,No,No
2019/044,Evaluation of the Effect of Mediterranean Diet on Breast Cancer Patients,Completed,Interventional,Experimental,Behavioral,Single Group Assignment,Not Applicable,No,No
B2017-11,Neoadjuvant Goserelin for Triple Negative Breast Cancer,Unknown status,Interventional,"Experimental, No Intervention",Drug,Parallel Assignment,Phase 2,No,No
Pro00088926,Promoting Breast Cancer Screening in Women Who Survived Childhood Cancer,"Active, not recruiting",Interventional,"Experimental, Experimental, Active Comparator","Behavioral, Behavioral, Behavioral",Parallel Assignment,Not Applicable,No,No
Tmab-TK006-102b,Safety Assessment of Repeated Administration of TK006 in Patients With Breast Cancer-related Bone Metastases,Unknown status,Interventional,Experimental,Biological,Single Group Assignment,Phase 1,No,No
Ahead-BC-20170323,Clinical Study of Apatinib Combined With SBRT Therapy in the Treatment of Oligometastasis of Breast Cancer,Unknown status,Interventional,Experimental,"Drug, Radiation",Single Group Assignment,Phase 2,No,No
21090645,Omega-3 and Vitamin D Supplementation in Breast Cancer Women,Recruiting,Interventional,"Experimental, Experimental, Experimental, No Intervention","Dietary Supplement, Dietary Supplement, Combination Product",Parallel Assignment,Early Phase 1,No,No
18-0234,The REACH Study: A Novel Values-Based Intervention to Increase Endocrine Therapy Adherence Among Breast Cancer Survivors,Completed,Interventional,"Experimental, Active Comparator","Behavioral, Behavioral",Parallel Assignment,Not Applicable,No,No
P20CA217199-9492018,A Community Dance Intervention Engaging Breast Cancer Survivors in a Middle-income Country,Completed,Interventional,"Experimental, No Intervention",Behavioral,Parallel Assignment,Not Applicable,No,No
Pro00107216,The Effect of Intermittent Fasting on Body Composition in Women With Breast Cancer,Withdrawn,Interventional,Experimental,Behavioral,Single Group Assignment,Not Applicable,No,No
HREBA.CC 19-0363,Rise Up After Breast Cancer,Completed,Interventional,Experimental,"Behavioral, Behavioral",Single Group Assignment,Not Applicable,No,No
AHQU-2021004,Acupuncture for Stiffness of Joint Related to Aromatase Inhibitors in Patients With Early-Stage Breast Cancer,Recruiting,Interventional,Experimental,Device,Single Group Assignment,Not Applicable,No,No
H20-03123,Breast Cancer Endocrine Therapy FITness (BE-FIT) Trial.,Recruiting,Interventional,"Experimental, Experimental","Behavioral, Behavioral",Crossover Assignment,Not Applicable,No,No
SYS-C-201801-5010,Fulvestrant Versus Capecitabine as Maintenance Therapy After First-line Chemotherapy in Patients With HR+/HER2- Metastatic Breast Cancer,Recruiting,Interventional,"Experimental, Active Comparator","Drug, Drug",Parallel Assignment,Phase 3,No,No
15-017,Imaging Markers of Subclinical Cardiotoxicity in Breast Cancer,Unknown status,Interventional,Experimental,"Other, Other",Single Group Assignment,Not Applicable,No,No
ZN-c5-003,A Study of ZN-c5 and Abemaciclib in Participants With Breast Cancer,Completed,Interventional,Experimental,"Drug, Drug",Single Group Assignment,Phase 1,Yes,No
M14ABC,"A Feasibility Study of Niraparib for Advanced, BRCA1-like, HER2-negative Breast Cancer Patients",Terminated,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No
18-004803,Evaluation of Magseed as Localization Device for Biopsy Proven Metastatic Axillary Lymph Nodes,Terminated,Interventional,Experimental,Device,Single Group Assignment,Not Applicable,No,Yes
34615/4/21,The Possible Efficacy and Safety of Lansoprazole Co-administration With Neoadjuvant Chemotherapy in Women With Breast Cancer,Completed,Interventional,"Active Comparator, Placebo Comparator","Drug, Drug",Parallel Assignment,Phase 3,No,No
CLAG525B2101,"A Study of Efficacy and Safety of LAG525 in Combination With Spartalizumab, or With Spartalizumab and Carboplatin, or With Carboplatin, in Patients With Advanced Triple-negative Breast Cancer",Completed,Interventional,"Experimental, Experimental, Experimental","Drug, Drug, Drug",Parallel Assignment,Phase 2,Yes,No
MINERVA,Combination of Abemaciclib and Endocrine Therapy in Hormone Receptor Positive HER2 Negative Locally Advanced or Metastatic Breast Cancer With Focus on Digital Side Effect Management,Recruiting,Interventional,"Experimental, Experimental","Drug, Drug",Parallel Assignment,Phase 4,Yes,No
LACOG 0419,Evaluation of Sequencing of Anthracyclines and Taxanes for Locally Advanced HER2-negative Breast Cancer,Recruiting,Interventional,"Active Comparator, Experimental","Drug, Drug",Parallel Assignment,Phase 3,No,No
CHB18.04,Quality of Life and Sexuality of Patients Over 65 Years Undergoing Adjuvant Treatment for Breast Cancer,Completed,Interventional,Other,Other,Single Group Assignment,Not Applicable,No,No
CSIIT-C21,A Clinical Study of the Efficacy and Safety of Chidamide in Combination With Camrelizumab and Carboplatin or Capecitabine in the Second and Third Line Treatment of Relapsed/Metastatic Triple-negative Breast Cancer,Not yet recruiting,Interventional,"Experimental, Experimental","Drug, Drug, Drug, Drug",Parallel Assignment,Phase 2,No,No
BOOG 2018-01,Image-guided De-escalation of Neo-adjuvant Chemotherapy in HER2-positive Breast Cancer: the TRAIN-3 Study,"Active, not recruiting",Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No
AMC2020-17,Upper Limb Function After Breast Cancer Surgery: the Role of Post-operative Physical Therapy Intervention,Completed,Interventional,"Active Comparator, Active Comparator, Active Comparator, Active Comparator",Other,Parallel Assignment,Not Applicable,No,No
KY20222062-C-1,"Neoadjuvant Inituomab, Pyrrolidone and Nab-paclitaxel for HER2+Breast Cancer",Not yet recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No
20201540,Prospective Evaluation of Targeted Axillary Dissection (TAD),Recruiting,Interventional,Experimental,Procedure,Single Group Assignment,Not Applicable,No,No
RCVDBCIIR005,Disitamab Vedotin(RC48) Combined With Penpulimab(AK105) for Neoadjuvant Treatment of HER2-low Breast Cancer,Not yet recruiting,Interventional,Experimental,"Drug, Drug",Single Group Assignment,Phase 2,No,No
STUDY00003282,Oral SM-88 in Patients With Metastatic HR+/HER2- Breast Cancer,"Active, not recruiting",Interventional,Experimental,Drug,Single Group Assignment,Phase 2,Yes,No
IRB-2022-348,Transversus Thoracic Muscle Plane Combined With Pectoral Nerves Block for Breast Cancer Surgery,Not yet recruiting,Interventional,"Experimental, Active Comparator","Procedure, Procedure",Parallel Assignment,Not Applicable,No,No
LCCC 1639,"Window of Opportunity Trial of Entinostat in Patients With Newly Diagnosed Stage I-IIIC,TNBC",Terminated,Interventional,Experimental,Drug,Single Group Assignment,Early Phase 1,Yes,No
SCHBCC-N034,Stage I HER2 Positive Invasive Breast Cancer De-escalation Study(IRIS-C/D),Not yet recruiting,Interventional,"Experimental, Experimental","Drug, Drug",Single Group Assignment,Phase 2,No,No
2022-0431,A Phase II Study of Neoadjuvant Sacituzumab Govitecan and Pembrolizumab Therapy for Immunochemotherapy-resistant Early-stage Triple-negative Breast Cancer (TNBC),Not yet recruiting,Interventional,Experimental,"Drug, Drug",Single Group Assignment,Phase 2,Yes,No
CBYL719C1201,Study Assessing the Efficacy and Safety of Treatment With Alpelisib Plus Fulvestrant in Japanese Men and Postmenopausal Women With Advanced Breast Cancer,Recruiting,Interventional,"Experimental, Experimental, Experimental","Drug, Drug",Parallel Assignment,Phase 2,No,No
SYSA1802-CSP-006,A Study to Evaluate the Efficacy and Safety of SG001 in Combination With Nab-Paclitaxel in Patients With Advanced Triple-Negative Breast Cancer (TNBC),Recruiting,Interventional,Experimental,"Drug, Drug",Single Group Assignment,Phase 2,No,No
KY2019-023,Neoadjuvant Study of Pyrotinib in HER-2 Positive Breast Cancer,"Active, not recruiting",Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No
MEDOPP447,Margetuximab Plus Tucatinib and Capecitabine in HER2-positive Metastatic Breast Cancer,Withdrawn,Interventional,Experimental,"Drug, Drug, Drug",Single Group Assignment,Phase 2,No,No
GE-226-004,Study to Evaluate Safety and Dosimetry of [18F]GEH121224 in Patients With Locally Advanced or Metastatic Breast Cancer,Not yet recruiting,Interventional,"Experimental, Experimental","Drug, Diagnostic Test, Diagnostic Test",Sequential Assignment,Phase 1,Yes,No
2021P002871,Optimizing Functional Recovery of Breast Cancer Survivors,"Active, not recruiting",Interventional,"Experimental, Active Comparator","Behavioral, Behavioral",Parallel Assignment,Not Applicable,No,No
CABC - Kreftfor project - SEB,Coping After Breast Cancer - a Randomized Clinical Trial With Two Digital Interventions,Recruiting,Interventional,"Active Comparator, Active Comparator, Placebo Comparator","Other, Other, Other",Parallel Assignment,Not Applicable,No,No
