ID,title,actual_duration,status,study_type,arm_group_type,intervention_type,interventional_type_model,phase,fda_regulated_drug,fda_regulated_device,enrollment_count
DS8201-A-U305,A Study of Trastuzumab Deruxtecan (T-DXd) Versus Trastuzumab Emtansine (T-DM1) in High-risk HER2-positive Participants With Residual Invasive Breast Cancer Following Neoadjuvant Therapy (DESTINY-Breast05),3679 days,Recruiting,Interventional,"Experimental, Active Comparator","Drug, Drug",Parallel Assignment,Phase 3,Yes,No,1600
2018.016,Monitoring luminAl Breast Cancer Through the Evaluation of Mutational and epiGeNEtic alteraTIons of Circulating ESR1 DNA,2385 days,Recruiting,Interventional,Experimental,Diagnostic Test,Single Group Assignment,Not Applicable,No,No,164
HE071-CSP-021,A Study of Mitoxantrone Hydrochloride Liposome Injection in Patients With Advanced HER2 Negative Breast Cancer,1084 days,Recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No,73
PREDIX II HER2,Improving Pre-operative Systemic Therapy for Human Epidermal Growth Factor Receptor 2 (HER2) Amplified Breast Cancer,769 days,Terminated,Interventional,"Experimental, Active Comparator","Drug, Drug, Drug, Drug, Drug, Drug, Drug, Drug, Drug",Parallel Assignment,Phase 2,Yes,No,6
ATADEK 2022-17/27,The Effect of Wearable Vibration Therapy on Shoulder Functionality in Individuals Receiving Adjuvant Radiotherapy After Breast Cancer Surgery,106 days,Recruiting,Interventional,"Active Comparator, Experimental","Device, Other",Parallel Assignment,Not Applicable,No,No,38
CHIR-01-sentinel,Sentinel Lymph Node Biopsy in Patients With Breast Cancer After Neoadjuvant Therapy,1064 days,Completed,Interventional,"Experimental, Experimental, Experimental, Experimental","Procedure, Procedure",Parallel Assignment,Not Applicable,No,No,61
R.20.05.834,Neoadjuvant Chemotherapy With or Without Metformin in Early Breast Cancer.,1060 days,Recruiting,Interventional,"Experimental, Placebo Comparator","Drug, Drug",Parallel Assignment,"Phase 2, Phase 3",No,No,120
MCC-20902,Capecitabine In Combination With Cemiplimab In Patient With Metastatic Breast Cancer,1519 days,"Active, not recruiting",Interventional,"Experimental, Experimental","Drug, Drug",Parallel Assignment,Phase 1,Yes,No,13
D3615C00001,Capivasertib+Fulvestrant vs Placebo+Fulvestrant as Treatment for Locally Advanced (Inoperable) or Metastatic HR+/HER2- Breast Cancer,1513 days,"Active, not recruiting",Interventional,"Experimental, Placebo Comparator","Drug, Drug, Drug",Parallel Assignment,Phase 3,Yes,No,818
SMC-2019-05-021 (2),Real-time Interactive Digital Healthcare System in Patients With Breast Cancer; Randomized Controlled Trial,595 days,Completed,Interventional,"Experimental, Active Comparator","Device, Other",Parallel Assignment,Not Applicable,No,No,100
17/209,The Tomosynthesis Trial in Bergen - Part 2,1977 days,"Active, not recruiting",Interventional,Other,Radiation,Single Group Assignment,Not Applicable,No,No,31082
1563/2018,Randomized Clinical Trial Comparing Rehabilitation Robotic Versus Conventional After Breast Cancer Surgery,519 days,Unknown status,Interventional,"Experimental, Active Comparator","Device, Other",Parallel Assignment,Not Applicable,No,No,108
18-603,"Small-group, Virtual Program for Improving Symptoms and Distress Related to Hormonal Therapy for Breast Cancer Survivors",765 days,Completed,Interventional,"Experimental, Experimental, Active Comparator","Other, Other",Parallel Assignment,Not Applicable,No,No,100
2021-0170,Efficacy and Safety of Adjuvant Docetaxel and Trastuzumab in Stage I HER2-positive Breast Cancer,1246 days,Recruiting,Interventional,"Active Comparator, Experimental","Drug, Drug, Drug",Parallel Assignment,"Phase 2, Phase 3",No,No,190
PUMCH-SBSBC,Survival Benefits of Statins in Breast Cancer Patients,1919 days,Recruiting,Interventional,"Experimental, Other","Drug, Behavioral",Parallel Assignment,Phase 3,No,No,314
B27IB3856,UCLA Breast Cancer Survivor Health Promotion Research Study,426 days,Recruiting,Interventional,"Active Comparator, Experimental","Behavioral, Behavioral",Parallel Assignment,Not Applicable,No,No,30
2018.08.ST,Study of Euthyroid Hypothyroxinemia in Metastatic Breast Carcinoma,1104 days,Terminated,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,Yes,No,7
YYS-20200305,Safety and Efficacy of Eribullin or Eribulin Combined With Anlotinib in Metastatic Breast Cancer,649 days,Completed,Interventional,"Placebo Comparator, Experimental","Drug, Drug",Parallel Assignment,Phase 2,No,No,80
CAN04CLIN005,Nadunolimab in Combination With Gemcitabine Plus Carboplatin in Patients With Advanced Triple Negative Breast Cancer.,1663 days,Recruiting,Interventional,"Experimental, Experimental, Active Comparator","Drug, Drug, Drug",Parallel Assignment,"Phase 1, Phase 2",No,No,116
ORIN1001-001,ORIN1001 in Patients With Advanced Solid Tumors and Relapsed Refractory Metastatic Breast Cancer,1405 days,"Active, not recruiting",Interventional,"Experimental, Experimental",Drug,Parallel Assignment,"Phase 1, Phase 2",Yes,No,150
Breast Cancer-RISS,Ultrasound Guided Rhomboid Intercostal and Subserratus Plane Block in Breast Cancer Surgeries,182 days,Completed,Interventional,"Active Comparator, No Intervention",Drug,Parallel Assignment,Phase 4,No,No,50
STML-ELA-0322,"ELACESTRANT in Women and Men With CDK4/6 Inhibitor-Naive Estrogen Receptor Positive, HER-2 Negative Metastatic Breast Cancer Study",731 days,Not yet recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,Yes,No,80
HNCH-BC010,A Study Comparing the Efficacy of TCbHP and ECHP-THP in the Neoadjuvant Treatment of HER2-positive Breast Cancer,873 days,Recruiting,Interventional,"Active Comparator, Experimental","Drug, Drug",Parallel Assignment,Phase 3,No,No,456
22SCH740,STUDY02001740;22SCH740: Estradiol For ER+ Advanced Breast Cancer (ESTHER),1461 days,Not yet recruiting,Interventional,Other,Drug,Single Group Assignment,Phase 2,Yes,No,36
eMOUVOIR-1901,Impact of Personalized and Remote Support Centered on Exercise and Physical Activity for Breast Cancer Patients,1444 days,Recruiting,Interventional,"Experimental, Active Comparator","Other, Other",Parallel Assignment,Not Applicable,No,No,1133
20G.605,Contrast-Enhanced Ultrasound Scan for the Estimation of Tissue Pressure in Patients With Breast Cancer,1133 days,Recruiting,Interventional,Experimental,"Procedure, Drug, Procedure",Single Group Assignment,Early Phase 1,Yes,No,25
19-002792,Adipose-Induced Regeneration of Breast Skin to Treat Post-Mastectomy Radiation Injury in Breast Cancer Patients,2633 days,Recruiting,Interventional,"Active Comparator, Experimental",Procedure,Parallel Assignment,Not Applicable,No,No,20
UT BCS Sleep Study,Feasibility and Effectiveness of a Sleep Hygiene Education Program for Sleep Issues in Breast Cancer Survivors,168 days,Withdrawn,Interventional,Experimental,Behavioral,Single Group Assignment,Not Applicable,No,No,0
919PP17,Protective Role of Vitamin D in Breast Cancer Patients Treated With Doxorubicin,243 days,Completed,Interventional,"No Intervention, Experimental",Drug,Parallel Assignment,Phase 2,No,No,100
H-50349,Correlation of Clinical Response to Pathologic Response in Patients With Early Breast Cancer,2390 days,Not yet recruiting,Interventional,"Active Comparator, Active Comparator, Active Comparator, Active Comparator","Drug, Drug, Drug, Drug, Drug, Drug, Drug, Drug",Parallel Assignment,Phase 2,Yes,No,185
B002-101,B002 in Patients With HER2-positive Breast Cancer,1064 days,Completed,Interventional,Experimental,Biological,Single Group Assignment,Phase 1,No,No,23
"2016-051-000001, 2563",Investigating Barriers for Decision Making in a Danish Breast Cancer Screening Context,132 days,Recruiting,Interventional,"Other, Other, Other","Other, Other, Other",Parallel Assignment,Not Applicable,No,No,3000
MCC-21378,Adoptive T Cell Therapy Following HER2-Pulsed Dendritic Cell Vaccine & Pepinemab /Trastuzumab in Patients w/ Metastatic HER2+ Breast Cancer,1431 days,Recruiting,Interventional,"Experimental, Experimental, Experimental, Experimental","Biological, Drug, Drug, Biological",Sequential Assignment,Phase 1,Yes,No,28
010006,Integrin α6-targeted SPECT Imaging of Breast Cancer,479 days,Completed,Interventional,Experimental,Drug,Single Group Assignment,Early Phase 1,No,No,9
2021-0358,A Phase 2 Single-Arm Open-Label Pilot Trial Evaluating Zanidatamab (ZW25) in Patients With Early Stage HER2/Neu Positive (HER2+) Breast Cancer (BC),1139 days,Recruiting,Interventional,Experimental,"Drug, Drug, Drug",Single Group Assignment,Phase 2,Yes,No,20
LACUDY,Evaluate Efficacy and Safety of LACUDY for Improving Vaginal Environment in Breast Cancer Patient,70 days,Not yet recruiting,Interventional,"Experimental, No Intervention",Drug,Parallel Assignment,Not Applicable,No,No,60
CSPC-DMS-BC-17,Pegylated Liposomal Doxorubicin Plus Albumin-Bound Paclitaxel and Trastuzumab in HER-2 Positive Breast Cancer,458 days,Unknown status,Interventional,Experimental,"Drug, Drug, Drug",Single Group Assignment,"Phase 1, Phase 2",No,No,40
UC-0105/1815,"Study of DS-8201a, an Antibody Drug Conjugate for Advanced Breast Cancer Patients, With Biomarkers Analysis",1987 days,"Active, not recruiting",Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No,186
NCC3340,A Phase II Study Evaluating the Efficacy and Safety of Pembrolizumab in Combination With Chemotherapy as Neoadjuvant Therapy for Triple-negative Breast Cancer,851 days,Recruiting,Interventional,Experimental,"Drug, Drug, Drug, Drug",Single Group Assignment,Phase 2,No,No,26
YOMA,Effects of Yoga on the Quality of Life of Breast Cancer Patients,937 days,Recruiting,Interventional,"Experimental, Experimental, No Intervention","Behavioral, Behavioral",Parallel Assignment,Not Applicable,No,No,138
2022-7735,Life After Breast Cancer - Impact of a Life Coach,716 days,Not yet recruiting,Interventional,"Experimental, Experimental, No Intervention","Behavioral, Behavioral",Parallel Assignment,Not Applicable,No,No,120
IRB00130428,The Effects of Short-term Preoperative Treatment With Hormonal Therapy on Gene Profiles in Breast Cancer,1740 days,"Active, not recruiting",Interventional,"Experimental, Experimental, Experimental","Drug, Drug, Drug, Diagnostic Test, Diagnostic Test",Parallel Assignment,Phase 2,Yes,Yes,30
HR BLTN 014,Study to Evaluate the Efficacy and Safety of SHR6390 Combined With Pyrotinib in HER2+ Advanced Breast Cancer,1125 days,"Active, not recruiting",Interventional,Experimental,"Drug, Drug",Single Group Assignment,Phase 2,No,No,41
GS-US-595-6184,Study of Sacituzumab Govitecan-hziy and Pembrolizumab Versus Treatment of Physicians Choice in Patients With Triple Negative Breast Cancer Who Have Residual Invasive Disease After Surgery and Neoadjuvant Therapy,2942 days,Recruiting,Interventional,"Experimental, Active Comparator","Biological, Biological, Drug",Parallel Assignment,Phase 3,Yes,No,1514
C4891023,TACTIVE-U: A Study to Learn About the Study Medicine (Called ARV-471) When Given With Other Medicines in People With Advanced or Metastatic Breast Cancer (Sub-Study B),1680 days,Recruiting,Interventional,Experimental,"Drug, Drug",Sequential Assignment,Phase 2,Yes,No,35
SYSU-2022-02,"Chidamide Plus PD-1 Plus Paclitaxel of Neoadjuvant Treatment in Low HR Expression,HER2-negative Early Breast Cancer.",547 days,Recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No,28
GO40987,"A Study of Giredestrant (GDC-9545) in Postmenopausal Women With Stage I-III Operable, Estrogen Receptor-Positive Breast Cancer",669 days,Completed,Interventional,"Experimental, Experimental, Experimental","Drug, Procedure",Parallel Assignment,Phase 1,Yes,No,75
HR-BLTN-008,"Pyrotinib in Combination With Letrozole in Patients With HER2-Positive, ER-Positive Metastatic Breast Cancer",1241 days,Recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No,86
HNCH-MBC08-BM02,Utidelone Plus Bevacizumab for Advanced Breast Cancer With Brain Metastases,733 days,Recruiting,Interventional,"Experimental, Experimental","Drug, Drug",Parallel Assignment,Phase 2,No,No,100
SNF4,Apatinib With CDK4/6 Inhibitor and Endocrine Therapy in HR+/ HER2- Advanced Breast Cancer,1581 days,Recruiting,Interventional,"Experimental, Active Comparator","Drug, Drug, Drug",Parallel Assignment,Phase 2,No,No,145
MA-BC-II-006,Neoadjuvant Study of Camrelizumab Plus Chemotherapy in Triple Negative Breast Cancer (TNBC),1379 days,Recruiting,Interventional,Experimental,"Biological, Drug, Drug, Drug",Single Group Assignment,Phase 2,No,No,20
17/013,Stereotactic Radiation and Immunotherapy in Patients With Advanced Triple Negative Breast Cancer,1765 days,"Active, not recruiting",Interventional,"Active Comparator, Active Comparator","Radiation, Drug",Parallel Assignment,Phase 2,No,No,54
SNF3,PARP Inhibitor With CDK4/6 Inhibitor and Endocrine Therapy in HR+/ HER2-Advanced Breast Cancer,1581 days,Recruiting,Interventional,"Experimental, Active Comparator","Drug, Drug, Drug",Parallel Assignment,Phase 2,No,No,200
2020 - 176,Efficacy of Statin Addition to Neoadjuvant Chemotherapy Protocols for Breast Cancer,334 days,Unknown status,Interventional,"Experimental, Placebo Comparator","Drug, Drug",Parallel Assignment,"Phase 2, Phase 3",No,No,60
HR-TNBC-HN100,SHR-1210 Combined With Albumin-bound Paclitaxel and Epirubicin Neoadjuvant for Triple Negative Breast Cancer,1096 days,Unknown status,Interventional,Experimental,Drug,Single Group Assignment,"Phase 1, Phase 2",No,No,39
2018-68-1461,Study Comparing EC-T Verses PCb in the Adjuvant Chemotherapy of Non-triple Negative Breast Cancer,2161 days,Recruiting,Interventional,"Active Comparator, Experimental, Active Comparator, Experimental","Drug, Drug, Drug, Drug, Drug, Drug, Drug",Parallel Assignment,Phase 3,No,No,1560
STU00206180,A Web-Based Tool to Improve Breast Cancer Survivorship,1068 days,Completed,Interventional,"Experimental, Active Comparator","Behavioral, Behavioral",Parallel Assignment,Not Applicable,No,No,84
2019-09-09,Sentinel Lymph Node Biopsy With Hybrid Technique in Breast Cancer,2192 days,Recruiting,Interventional,"Active Comparator, Experimental, Experimental, Experimental",Procedure,Parallel Assignment,Not Applicable,No,No,120
UBRS20013,Feasibility of Chemotherapy De-escalation in Early-Stage HER2 Positive Breast Cancer,1096 days,Not yet recruiting,Interventional,"Experimental, Experimental","Drug, Drug, Drug, Drug, Drug",Parallel Assignment,Phase 2,Yes,No,20
HR-BLTN-014,Study to Evaluate the Efficacy and Safety of CDK4/6 Inhibitor SHR6390 Combined With Pyrotinib in the Treatment of HER2-positive Advanced Breast Cancer,609 days,Unknown status,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No,20
SPI-POZ-101,A Study of Poziotinib in Combination With T-DM1 in HER2-Positive Breast Cancer,278 days,Terminated,Interventional,Experimental,"Drug, Drug",Single Group Assignment,Phase 1,Yes,No,6
EC/TMC/108/17,Hypo-Fractionated Radiotherapy in Breast Cancer,1827 days,Unknown status,Interventional,Experimental,Radiation,Single Group Assignment,Not Applicable,No,No,30
SGRT-BC,Optical Surface Monitoring Technology-Guided Large-Segment Radiotherapy for Breast Cancer,1826 days,Recruiting,Interventional,"Experimental, No Intervention",Device,Parallel Assignment,"Phase 2, Phase 3",No,No,556
CMUH108-REC3-090,A Study to Evaluate the Safety and Clinical Outcome of Using FR-Mask in Breast Cancer Patients With Radiation-irritated Skin After Radiotherapy,817 days,Unknown status,Interventional,Experimental,Other,Single Group Assignment,Not Applicable,No,No,10
RC48-C012,A Study of RC48-ADC for the Treatment of Locally Advanced or Metastatic Breast Cancer With Low Expression of HER2,1187 days,Recruiting,Interventional,"Experimental, Active Comparator","Drug, Drug, Drug, Drug, Drug",Parallel Assignment,Phase 3,No,No,366
261\\2021,Real-time Tele-monitoring Versus Routine Monitoring of Breast Cancer Patients Receiving Adjuvant Systemic Therapy,700 days,Not yet recruiting,Interventional,"No Intervention, Active Comparator",Other,Parallel Assignment,Not Applicable,No,No,150
ERIBRAIN-IPC 2017-014,Eribulin in Brain Metastases From HER2-negative Breast Cancer,413 days,Withdrawn,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No,0
