ID,title,status,study_type,observational_study_model,target_duration,sampling_method,fda_regulated_drug,fda_regulated_device
2021-PrMa-RWiberg,"Prophylactic Mastectomy: Prospective Evaluation of the Correlation Between Skin Flap Thickness, Residual Glandular Tissue and Skin Necrosis by Imaging and Clinical Examination",Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
69HCL20_0346,Impact of the COVID-19 Pandemic in Gynecological Oncology,Completed,Observational,Case-Control,,Non-Probability Sample,No,No
TJ-IRB20211129,68Ga-HER2 Affibody PET/CT Imaging for HER2-Positive Cancer Patients,Recruiting,Observational,Other,2 Years,Non-Probability Sample,No,No
69HCL19_0731,"Identify the Obstacles to Early Diagnosis of Cancer in Patients Over 75 Years Old, on an Outpatient Basis",Completed,Observational,Cohort,,Non-Probability Sample,No,No
EAQ161CD,Assessment of Current Biomarker Testing Practices for Common Solid Cancers in Precision Oncology in the Community Setting,"Active, not recruiting",Observational,Ecologic or Community,,Non-Probability Sample,,
G-5097-2019,Evaluation of Postoperative Nausea and Vomiting Incidence in Patients With Mastectomy Surgery According to Apfel Risk Scoring System,Completed,Observational,Case-Only,,Non-Probability Sample,No,No
NIMAO/2016/PC-01,Kinetics of Perioperative Circulating DNA in Cancer Surgery,Completed,Observational,Case-Only,,Non-Probability Sample,No,No
IIT-2021-CANINE,To Assess Immunogenicity of Coronavirus Disease 2019 (COVID-19) Vaccine in Cancer Patients Receiving Cancer Treatment,"Active, not recruiting",Observational,Case-Only,,Probability Sample,No,No
2018P000084,Evaluation of ADM Soft Tissue Reinforcement,Unknown status,Observational,Cohort,,Non-Probability Sample,No,Yes
NIP IT!,Non-Invasive Artificial Intelligence-Based Platform MonIToring Program (NIP IT!),Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
PRO 1676,A Digimed Oncology PharmacoTherapy Registry,Unknown status,Observational,Other,,Probability Sample,No,No
69HCL17_0642,Tumoral Bone Strength Assessment by Numerical Simulation Using Quantitative CT : the MEKANOS Study,Recruiting,Observational,Case-Only,,Non-Probability Sample,No,No
PVMEDCT202201,Efficacy and Safety of AI-assisted Radiotherapy Contouring Software for Thoracic Organs at Risk,Recruiting,Observational,Cohort,,Probability Sample,No,No
SAHZhejiangU 123,Added Value of Contrast-enhanced Ultrasound for BI RADS 4A Nodules,Unknown status,Observational,Cohort,,Non-Probability Sample,No,No
CCR5653,Accelerated Body Diffusion-Weighted MRI Using Artificial Intelligence,Enrolling by invitation,Observational,Cohort,,Non-Probability Sample,No,No
1190532,Chilean Maternal & Infant Cohort Study II (CHiMINCs-II),"Active, not recruiting",Observational,Cohort,,Probability Sample,No,No
2017-02028,Efficacy of the Consilium Smartphone App for Detecting Symptoms and Treatment Side Effects in Cancer Patients,Terminated,Observational,Cohort,,Probability Sample,No,No
JS001-PMS-CO1,Intensive Medicines Monitoring Study of Toripalimab Monoclonal Injection (Tuoyi) .,Not yet recruiting,Observational,Other,,Non-Probability Sample,No,No
Pro00037562,Apple Womens Health Study,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
829785,Effect of PARP Inhibitors on Glomerular Filtration Rate,Terminated,Observational,Cohort,,Non-Probability Sample,No,No
IRB 20-488,CASE 1320: RAI Uptake and Serum Prolactin in Thyroid Cancer,"Active, not recruiting",Observational,Cohort,,Non-Probability Sample,No,No
20,Early Detection of Heart Problems in Cancer Patients Receiving Chemotherapy,Withdrawn,Observational,Case-Only,,Non-Probability Sample,No,No
209514,Pilot Study of Pancreatic Cancer Screening,Recruiting,Observational,Cohort,,Probability Sample,No,No
Klotho _ LRP-6 _ GC,Klotho _ LRP-6 _ Gastric Adenocarcinoma,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No
20/PR/0222,Precision Medicine for Liver Tumours With Quantitative Magnetic Resonance Imaging and Whole Genome Sequencing,"Active, not recruiting",Observational,Cohort,,Probability Sample,No,No
GOUDET 2018,Study and Monitoring of Multiple Endocrine Neoplasia Type 1,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
FF-2018-084,Does Pecs II Block Reduce the Incidence of Post Mastectomy Pain Syndrome (PMPS)? A Cross Sectional Study,Completed,Observational,Cohort,2 Years,Probability Sample,No,No
2018-03,SENTINEL LYMPH NODE BIOPSY AFTER NEOADJUVANT CHEMOTHERAPY,Unknown status,Observational,Case-Control,,Probability Sample,No,No
P2101,The AUS-PREDICT Registry for DCIS Patients With DCISionRT Testing,Recruiting,Observational,Cohort,10 Years,Non-Probability Sample,No,Yes
201903142,Circulating Tumor DNA (ctDNA) for Early Treatment Response Assessment of Solid Tumors,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
2021-04840,Lymphedema After Urologic Surgery,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
Niraparib-5001,A Study for Post-Marketing Surveillance of Niraparib in the Treatment of Adult Participants for Approved Indications in South Korea,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
LINDA,Study To Evaluate The Sensitivity Of The Linda Thermal Device,Recruiting,Observational,Cohort,,Probability Sample,No,No
B3271007,Safety and Efficacy of Trastuzumab BS,Not yet recruiting,Observational,Case-Only,,Probability Sample,Yes,No
Soh-Med-22-09-01,Ultrasonography Screening for Breast Lesions During Pregnancy and Lactation,Not yet recruiting,Observational,Case-Only,,Probability Sample,No,No
OCOG-2021-ELISA,Prospective Evaluation of Breast-Conserving Surgery Alone in Low-Risk Ductal Carcinoma in Situ (DCIS),Recruiting,Observational,Cohort,,Probability Sample,No,No
CHIRCOLREC-IPC 2018-017,Prospective Database for Colonic or Rectal Resection Surgery Patients,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No
49/20 b,Breast Reconstruction in Previously Irradiated Breast,Completed,Observational,Case-Control,,Probability Sample,No,No
ROR2103,"Evaluating Patient Reported Outcomes in Radiation Therapy, The PRO-RT Study",Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
KY-2021-012,A Real-World Study of Pyrotinib Maleate in the Treatment of Advanced/Metastatic Non-Small Cell Lung Cancer With Rare Mutations in HER2,Not yet recruiting,Observational,Other,1 Year,Non-Probability Sample,No,No
49/20,Adjuvant Radiotherapys Effect on One and Two Stages Prosthetic Breast Reconstruction and on Autologous Reconstruction,Completed,Observational,Case-Control,,Probability Sample,No,No
Pro00054854,The Gut Microbiome and Immune Checkpoint Inhibitor Therapy in Solid Tumors,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
38RC17.291,EssaiClinique_CBSM,Terminated,Observational,Case-Control,,Non-Probability Sample,No,No
034-2020,Radiomic Analysis for Predicting Treatment Response and Clinical Outcomes in Malignancies,"Active, not recruiting",Observational,Cohort,,Non-Probability Sample,No,No
228-17-EP,Chemotherapy-Related Changes in Neurocognitive Function and Symptoms in Colorectal Cancer Patients: A Pilot Study,Completed,Observational,Cohort,,Non-Probability Sample,No,No
2019-8890,Clinical Evaluation of CEM-guided Biopsy,Completed,Observational,Case-Only,,Non-Probability Sample,No,Yes
2021-KY-073,The Efficacy of Hyperthermic Intraperitoneal Chemotherapy to Ovarian Cancer Patients With Homologous Recombination Repair Defect and Residual: a Prospective Cohort Study,Recruiting,Observational,Cohort,,Probability Sample,No,No
EXGEFATU,"Diagnostic Value of Exome/ Genome Sequencing, Conventional Methods in Rare Diseases and Familial Tumor Syndromes",Recruiting,Observational,Cohort,,Probability Sample,No,No
FESPET,FESPET Study: Female EStrogen recePtor in Endometrial Cancer Treatment,Unknown status,Observational,Case-Only,,Non-Probability Sample,No,No
ILYAD1_2019,Initiative in LYon for Lung cAncer Screening Development - Prevalence Study,Completed,Observational,Ecologic or Community,,Non-Probability Sample,No,No
919/2020/Oss/IOR,"Dietary Habits, Metabolome, Immune Profile and Microbiota in Patients With Bone Sarcoma",Recruiting,Observational,Case-Control,4 Years,Non-Probability Sample,No,No
BARBEN 2020,Impact of Age and Geriatric Co-morbidities on Lymphocyte Phenotype in Patients 70 Years of Age and Older,Withdrawn,Observational,Cohort,,Non-Probability Sample,No,No
Soh-Med-22-09-16,Role of IMP3 Expression in Colorectal Carcinoma: An Immunohistochemical Study,Recruiting,Observational,Other,5 Months,Non-Probability Sample,,
Shengjing-LJY05,The Effect of Gravity on the Occurrence of Lactational Mastitis,Recruiting,Observational,Cohort,,Probability Sample,No,No
PREDICT,The PREDICT Study: Prospective Early Detection In a Population at High-risk for Common Malignant Tumor,"Active, not recruiting",Observational,Case-Only,,Non-Probability Sample,No,No
CHU-426,Evaluation by Oncologists of Strategies for the Prevention and Treatment of Chemotherapy-induced Peripheral Neuropathies,Completed,Observational,Cohort,,Non-Probability Sample,No,No
IRAS307166,How Does Skin Tone Affect Quantitative Photoacoustic Imaging,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No
999916161,The Role of Emotions and Regulatory Focus in Decision Making That Involves Risk Tradeoffs,Withdrawn,Observational,Other,,Non-Probability Sample,,
1000-1,Womens Assessed Cardiovascular Evaluation With MCG,Completed,Observational,Cohort,,Non-Probability Sample,No,Yes
R-17-360,Detecting Radiation-Induced Cardiac Toxicity After Non-Small Cell Lung Cancer Radiotherapy,Unknown status,Observational,Cohort,,Non-Probability Sample,No,No
BIC4VMR,Breakthrough Improvement Collaborative for Ventral Mesh Rectopexy,Not yet recruiting,Observational,Other,,Non-Probability Sample,No,No
19CX5601,PROState Pathway Embedded Comparative Trial,Completed,Observational,Other,,Probability Sample,No,No
APHP180576,18FFDG PET/CT for Early Evaluation of Chemotherapy Efficacy in Metastatic Colic Adenocarcinoma,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No
IEO 1740,68Ga-DOTATOC Radio-Guided Surgery With β-Probe in GEP-NET,Recruiting,Observational,Other,,Probability Sample,No,No
Soh-Med-22-03-01,IMP3 and PCNA Expression in Laryngeal Squamous Cell Carcinoma in Sohag Governorate,Recruiting,Observational,Other,,Non-Probability Sample,No,No
2019-02Obs-CHRMT,Psychological Determinants of the Therapeutic Observance of Osteoporotic Patients,Completed,Observational,Cohort,,Non-Probability Sample,No,No
ShuangHoH,Smart Home Care of Cloud Base ECG on the Cardiotoxicity Prevention on the Cancer Patients.,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No
CMUH109-REC2-101,Evaluation of the Efficacy of Chinese Herbal Medicine in Patients With Obesity,Unknown status,Observational,Cohort,,Probability Sample,No,No
RNI 2021 LEBRETON 3 (EVIGE),Evaluation of the Inter-center Variability of the Measurement of Thrombin Generation by the ST Genesia System,Recruiting,Observational,Case-Control,,Probability Sample,No,No
1648/2019,"Glucocorticoids, Immunotherapy and Radiosurgery for Brain Metastases",Recruiting,Observational,Cohort,6 Months,Non-Probability Sample,No,No
22072,A Study Called GUS to Understand How Much of the Contrast Agent Gadavist is Used and How Much is Wasted in Two Different Containers (Single-dose Vials and Imaging Bulk Packages ) in a Real-world Setting,"Active, not recruiting",Observational,Cohort,,Non-Probability Sample,No,No
HKG-KZ-PRAD-103,"Detection of Prostate Cancer With Non-invasive Method Based on DNA Methylation of Circulated Tumor DNA, PBMC",Withdrawn,Observational,Case-Control,,Probability Sample,No,No
PET/CT in malignancy,Validity of Mediastinal Blood Pool SUV Ratio,Not yet recruiting,Observational,Cohort,,Probability Sample,No,Yes
AssiutNT,Risk Assessment of Endometrial Hyperplasia and Endometrial Cancer,Recruiting,Observational,Case-Only,,Probability Sample,No,No
HKG-Bng-HCC-100,HCC Screening Using DNA Methylation Changes in ctDNA,Completed,Observational,Case-Control,,Non-Probability Sample,No,No
IX-2021-DS-LEARN,LEARN: Learning Environment for Artificial Intelligence in Radiotherapy New Technology,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No
Pro00101102,Cancer Treatment Decision-making in the HIV Population: an Observational Study of Physician-patient Interactions,Terminated,Observational,Cohort,,Non-Probability Sample,No,No
NL66650.041.18,The MOMENTUM Study: The Multiple Outcome Evaluation of Radiation Therapy Using the MR-Linac Study,Recruiting,Observational,Cohort,2 Years,Non-Probability Sample,No,Yes
HALO Dx 001,Phase I Human Analytics (HALO) Study,Recruiting,Observational,Cohort,,Non-Probability Sample,No,Yes
SYSU_AI01,Diagnosis Predictive Modle for Dense Density Breast Tissue Based on Radiomics,Unknown status,Observational,Cohort,2 Years,Non-Probability Sample,No,No
B2017-113R,Tumor Landscape Pathological Diagnosis by Large Tissue Sections,Unknown status,Observational,Case-Control,3 Years,Non-Probability Sample,No,No
STU-2019-0522,Prospective Registry Trial for Single Port Robot-assisted Nipple Sparing Mastectomy (SPrNSM),Completed,Observational,Cohort,,Probability Sample,,
PJ-KS-KY-2019-134,The Clinical Study of Modern Therapies on Flora in Body Fluids and Blood of Malignant Tumor Patients,Unknown status,Observational,Cohort,,Probability Sample,No,No
DMT-2019.002,Delphinus SoftVue™ ROC Reader Study (DMT SV RRS3),Completed,Observational,Case-Control,,Probability Sample,No,Yes
DMT-2019.001,Delphinus SoftVue™ ROC Reader Study,Completed,Observational,Case-Control,,Probability Sample,No,Yes
AD10,KCNA3 and OTOP2 Gene Methylation Combined Detection Kit (Fluorescent PCR Method),Not yet recruiting,Observational,Case-Control,1 Month,Probability Sample,No,No
CASE7Y16,A Pilot Study of [Ga-68]PSMA PET/MRI for the Assessment of PSMA-positive Tumors,Completed,Observational,Cohort,,Probability Sample,No,Yes
LOCAL/2020/DR-01,18F-DOPA-PET in Non-tumoral and Tumoral Brain Lesions,Completed,Observational,Cohort,,Probability Sample,No,No
PJ-KS-KY-2019-135,"Clinical Study on Raman Spectra of Blood, Saliva and Urine in Patients With Cancer Treated by Modern Therapy",Unknown status,Observational,Cohort,,Non-Probability Sample,No,No
D0817R00010,OLAP (OLAparib Regulatory Post-marketing Surveillance),Recruiting,Observational,Cohort,,Non-Probability Sample,,
201610,Predicting Chronic Pain Following Breast Surgery,Recruiting,Observational,Case-Control,,Non-Probability Sample,No,No
PREDAPT,A Multicenter Cancer Biospecimen Collection Study,Recruiting,Observational,Case-Only,,Probability Sample,No,No
HH-PRT-0001,Development and Validation of Harbinger Health Test for Early Cancer Detection,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
AD07,GNB4 and Riplet Gene Methylation Combined Detection Kit (Fluorescence PCR Method),Not yet recruiting,Observational,Case-Control,1 Month,Probability Sample,No,No
123glioma,Correlation Between SPECT/CT and IDH Mutation in Brain Glioma,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No
NCH04-2020,"Glutamate Excitotoxicity in Brain Metastases From Lung, Breast and Melanoma Treated With Stereotactic Radiosurgery",Recruiting,Observational,Case-Control,,Non-Probability Sample,No,No
BakircayU/D208,Chemotherapy-induced Peripheral Neuropathy (CIPN) on Motor and Sensory Function,Completed,Observational,Cohort,,Non-Probability Sample,No,No
D0818R00008,A Study to Characterize the Outcomes of Olaparib Maintenance Monotherapy in Newly Diagnosed BRCAwt Ovarian Cancer,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No
2000028592,Congenital Uterine Anomalies: Identifying Cancer Associations and Genetic and Environmental Factors to Improve Clinical Care,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
22/006-P,Palliative Care Costs for Outpatient Setting Management in Catalunya,Not yet recruiting,Observational,Other,1 Month,Non-Probability Sample,No,No
PREFER,PRospective rEgistry OF Advanced Stage cancER (PREFER) Patients to Assess Prevalence of Actionable Biomarkers and Driver Mutations to Address Disparities in Precision Medicine,Recruiting,Observational,Cohort,2 Years,Probability Sample,,
M18HAR,Health After eaRly Menopause Due to Oophorectomy,Unknown status,Observational,Cohort,,Non-Probability Sample,No,No
8259,PostmenopausAL heaLth And DIseAse (PALLADIA) Study,Recruiting,Observational,Cohort,,Probability Sample,,No
20-458,Developing New Educational Materials About Genetic Testing for a Diverse Group of Cancer Patients,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
M20COM,The Prospective Observational COMPRAYA Cohort Study,Recruiting,Observational,Cohort,10 Years,Non-Probability Sample,No,No
S1714,Treatment Effects on Development of Chemotherapy-Induced Peripheral Neuropathy in Patients With Cancer,"Active, not recruiting",Observational,Cohort,,Non-Probability Sample,,
2020/2706,Impact of Measures Taken to Contain COVID-19 on Hospital Surgical Care Services and Clinical Outcomes,Completed,Observational,Cohort,,Probability Sample,No,No
Pro00077309,Prevent Cancer- Greenville,Recruiting,Observational,Ecologic or Community,,Non-Probability Sample,No,No
105909,Influence of Chemotherapy on Postural Control in Women With Cancer,Recruiting,Observational,Cohort,,Probability Sample,No,No
19ON033,Vibrational Spectroscopy for Endometrial Cancer Diagnosis,Recruiting,Observational,Case-Control,,Non-Probability Sample,No,No
Parameters of resistence,Parameters Declaring PCO Infertile Patients Either Sensitive or Resistant to Different Doses of Clomiphene Citrate.,Recruiting,Observational,Cohort,3 Months,Probability Sample,No,No
NCI-2018-01375,"Genetic Analysis of Blood and Tissue Samples From Patients With Advanced Cancer, Moonshot Study","Active, not recruiting",Observational,Cohort,,Non-Probability Sample,No,No
A212102,Collecting Blood Samples From Patients With and Without Cancer to Evaluate Tests for Early Cancer Detection,Recruiting,Observational,Case-Control,,Non-Probability Sample,No,No
IRB00058758,Paclitaxel Therapeutic Drug Monitoring in Cancer Patients,Recruiting,Observational,Cohort,,Probability Sample,No,No
2019-0239,Factors Influencing Cascade Testing Among Women With Hereditary Gynecological Cancers and Their Relatives,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
180043,Generation of Cancer Antigen-Specific T-cells From Human Induced Pluripotent Stem Cells (iPSC) for Research and Potential FutureTherapy,Terminated,Observational,Cohort,,Non-Probability Sample,No,No
INT 48/21,Quantifying Systemic Immunosuppression to Personalize Cancer Therapy,Recruiting,Observational,Case-Control,,Probability Sample,No,No
DV001,The Effect of Androgen Receptor Polymorphism on Endometrial Cancer,Not yet recruiting,Observational,Cohort,,Probability Sample,No,No
IIBSP-ECV-2019-103,Study of Quality of Life Post Salpingo-oophorectomy in BRCA1/2 & PALB2 Mutation Carriers (BRCA-HRT),Recruiting,Observational,Case-Control,,Non-Probability Sample,,
Pro9646,Microvascular Function in Patients Undergoing 5-Fluorouracil Chemotherapy,Recruiting,Observational,Case-Control,,Non-Probability Sample,No,No
INT156-19,Gender Difference in sidE eFfects of ImmuNotherapy: a Possible Clue to Optimize cancEr tReatment,Completed,Observational,Cohort,,Non-Probability Sample,No,No
02-MX-003,ORACLE: Observation of ResiduAl Cancer With Liquid Biopsy Evaluation,Recruiting,Observational,Cohort,,Probability Sample,No,No
09.2018.466,Reliability of Subcutaneous Echogenicity (SEG) Grade and Subcutaneous Echo-free Space (SEFS) Grade,Completed,Observational,Other,,Probability Sample,No,No
IB2022-02,Cancer Risk Assessment in Patients With a Constitutional Alteration of the PTEN Gene,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
0S-17-4,"Nutritional Preferences and Product Accessibility in Oral Nutritional Supplements in Participants With Breast, Colorectal, Upper Gastrointestinal, or Prostate Cancer",Withdrawn,Observational,Case-Only,,Non-Probability Sample,No,No
AS-IRB-BM-17056,Taiwan Cancer Moonshot Project,Recruiting,Observational,Cohort,4 Years,Probability Sample,No,No
SYNERGY-AI,SYNERGY-AI: Artificial Intelligence Based Precision Oncology Clinical Trial Matching and Registry,Recruiting,Observational,Cohort,36 Months,Non-Probability Sample,No,No
Adela-EDMRD-001,cfDNA Assay Prospective Observational Validation for Early Cancer Detection and Minimal Residual Disease,Recruiting,Observational,Case-Control,,Non-Probability Sample,No,No
Cancer Genetic Counseling.PSI,Assessment Psychological Distress for Cancer Heredity Test,Unknown status,Observational,Cohort,,Non-Probability Sample,No,No
11190071,Multimodal Assesment of Acute Cardiac Toxicity Induced by Thoracic Radiotherapy in Cancer Patients,"Active, not recruiting",Observational,Cohort,3 Months,Non-Probability Sample,No,No
TRV-003,Mass Response of Malignant Fluid Cells as a Biomarker for Rapid Therapy Guidance,Recruiting,Observational,Cohort,,Probability Sample,No,No
HSP70CTC,Heat Shock Protein (HSP) 70 to Quantify and Characterize Circulating Tumor Cells,Recruiting,Observational,Cohort,3 Months,Probability Sample,No,No
MOHCCN-O,Marathon of Hope Cancer Centres Network Study for Ontario (MOHCCN-O),Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
STU00209558,Plan to Thrive: Extending Cancer Survivorship Care Beyond the Clinic,Completed,Observational,Cohort,,Non-Probability Sample,No,No
TP-CA-001,Tempus Priority Study: A Pan-tumor Observational Study,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
202211038RINA,Microscopy Imaging of Whole-mount Stained Human Tissues,Not yet recruiting,Observational,Case-Control,5 Years,Non-Probability Sample,No,No
HREBA.CC-22-0196,LIVInG With chrONic Cancer TrEatments (LONGEVITI) Study,Recruiting,Observational,Family-Based,,Non-Probability Sample,No,No
AVS4TL - 0921,Avera/Sema4 Oncology and Analytics Protocol,Recruiting,Observational,Other,,Probability Sample,No,No
DPM401,Study to Evaluate the Safety of Nanoxel M Inj.,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
BR-DTX-OS-401,Docetaxel Ethanol-induced Symptoms; The Incidence and Risk Forecating Factor,Completed,Observational,Cohort,,Non-Probability Sample,No,No
APHP190973,Integrated Care Pathway in Oncology (PASSION),"Active, not recruiting",Observational,Cohort,,Non-Probability Sample,No,No
202100484,Early Ageing During Therapy in AYA Cancer Patients,Recruiting,Observational,Cohort,,Probability Sample,No,No
MX-011-219,Project CADENCE (CAncer Detected Early caN be CurEd),Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
R231-A14057,Implementation and Quality Assurance of DPYD-genotyping in Patients Treated With Fluoropyrimidines.,Completed,Observational,Other,6 Months,Non-Probability Sample,No,No
ROOT,The Registry of Oncology Outcomes Associated With Testing and Treatment,Recruiting,Observational,Cohort,5 Years,Non-Probability Sample,No,No
MYCT001,The PIONEER Initiative: Precision Insights On N-of-1 Ex Vivo Effectiveness Research Based on Individual Tumor Ownership (Precision Oncology),Recruiting,Observational,Case-Only,,Non-Probability Sample,No,No
05-2019,Multifactorial Risk Assessment for Breast & Ovarian Cancer Risk Detection,"Active, not recruiting",Observational,Cohort,,Non-Probability Sample,No,No
PN #1082409C,Post Market Clinical Follow-up Study on da Vinci® Robotic-assisted Prophylactic Nipple Sparing Mastectomy With Breast Reconstruction,Recruiting,Observational,Case-Only,,Non-Probability Sample,No,No
2011P002580-207,Safety of TofAcitinib in Routine Care Patients With Rheumatoid Arthritis (STAR-RA)-Cancer Endpoints,Completed,Observational,Cohort,,Non-Probability Sample,Yes,No
FT-003,"Long-term, Non-interventional, Observational Study Following Treatment With Fate Therapeutics FT500 Cellular Immunotherapy",Recruiting,Observational,Case-Only,,Non-Probability Sample,Yes,
SAHoWMU-CR2021-02-404,Gastric Cancer Marker Detection and Its Kit Development,Recruiting,Observational,Cohort,1 Day,Probability Sample,No,No
7101,Womens Knowledges About Gynaecological Aftercare,Unknown status,Observational,Cohort,,Non-Probability Sample,No,No
200-04,A Tissue Collection Study in Patients Who Respond to Immune Checkpoint Inhibitors to Identify Targets of Tumor-Reactive T Cells.,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
01GS,Early Detection of Five Common Cancers Using the ctDNA Analysing Test,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
19-110,Minnesota Care Coordination Effectiveness Study,"Active, not recruiting",Observational,Cohort,,Non-Probability Sample,No,No
17-01135,Cascade Testing in Families With Newly Diagnosed Hereditary Breast and Ovarian Cancer Syndrome,Recruiting,Observational,Family-Based,,Probability Sample,No,No
2019-00134,Vitamin D3 - Omega3 - Home Exercise - HeALTHy Aging and Longevity Cohort,Enrolling by invitation,Observational,Cohort,,Non-Probability Sample,No,No
19-007,DECIDE: Developing Tools for Lung Cancer Screening Discussion Improvement,Withdrawn,Observational,Cohort,,Probability Sample,No,No
2018-01B,Stool Collection Sub-Study of Exact Sciences Protocol 2018-01,Completed,Observational,Cohort,,Non-Probability Sample,No,No
IOSI-COVID19-001,A Study on the Immune-response to COVID-19 Vaccination in Cancer Patients - the IOSI-COVID-19-001 Study,Completed,Observational,Case-Only,,Non-Probability Sample,No,No
GOG-8030,Cost of Cancer Risk Management in Women at Elevated Genetic Risk for Ovarian Cancer Who Participated on GOG-0199,Not yet recruiting,Observational,,,Non-Probability Sample,,
18HLGENE03,Evaluation of the Adhesion to the GENEPY Network,Unknown status,Observational,Ecologic or Community,1 Day,Non-Probability Sample,No,No
CR108454,A Study of Participants With Advanced Prostate Cancer in Canada,"Active, not recruiting",Observational,Cohort,,Non-Probability Sample,No,No
MO19/127559,Tolerance of Anti-Cancer Therapy in the Elderly,Recruiting,Observational,Cohort,,Probability Sample,No,No
RPCR-breast 01,Accelerated Partial Breast Irradiation (APBI) Using Stereotactic Body Radiation Therapy (SBRT),Recruiting,Observational,Case-Only,5 Years,Non-Probability Sample,No,No
WP-2021-03,Assessment of Sarcopenia at Diagnosis for Patients With Previously Untreated Metastatic Cancer or Hematologic Malignancy,Not yet recruiting,Observational,Cohort,,Probability Sample,No,No
FatebenefratelliH,Stress Echo 2030: the Novel ABCDE-(FGLPR) Protocol to Define the Future of Imaging,Recruiting,Observational,Case-Only,5 Years,Non-Probability Sample,No,No
2019P001434-2,Examining Validity and Reliability of the Shared Decision Making Process Survey in Adults With Depression,Completed,Observational,Other,,Non-Probability Sample,No,No
BC 09915,Lymphedema After Gyneco-oncologic Treatment,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
7013,MRI in Ductal Carcinoma in Situ (DCIS),Unknown status,Observational,Cohort,,Non-Probability Sample,No,No
22-200,"InAdvance: Surveillance, Prevention, and Interception in a Population at Risk for Cancer",Not yet recruiting,Observational,Cohort,20 Years,Probability Sample,No,No
20172841,The PREDICT Registry for DCIS Patients With DCISionRT Testing,Suspended,Observational,Cohort,10 Years,Non-Probability Sample,No,Yes
RC31/18/0440,Abatacept and the Risk of Cancer: a Case Non-case Analysis in VigiBase,Unknown status,Observational,Cohort,,Non-Probability Sample,No,No
SDLNOC,Survival Impact of Internal Mammary or Supraclavicular Lymphadenectomy,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
2021-1211,Development of an Application-Based Digital Navigator for Perioperative Breast Surgery Patients,Recruiting,Observational,Cohort,,Probability Sample,No,No
LSHBSWMBC,Screening of Cancer Through Novel Female Specific Biomarkers,Unknown status,Observational,Case-Control,,Non-Probability Sample,No,Yes
1655,Cell-free DNA in Hereditary And High-Risk Malignancies,Recruiting,Observational,Cohort,,Probability Sample,No,No
Colorectal Cancer,Colorectal Cancer Awareness in Turkey,Unknown status,Observational,Other,,Non-Probability Sample,No,No
1992110-1,Engaging Diverse and Underserved Communities in Cancer Awareness Training and Education,Recruiting,Observational,Other,,Non-Probability Sample,No,No
CSC-20200324,Outcomes of Elective Cancer Surgery During the COVID-19 Pandemic Crisis,Unknown status,Observational,Cohort,,Non-Probability Sample,No,No
0029-20-ZIV,Smurf2 Gene Expression in Urinary Tract Tumors,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No
HKG-KZ-LNG-102,Lung Cancer Screening Using DNA Methylation Changes in Circulated Tumor and PBMC DNA,Terminated,Observational,Case-Control,,Non-Probability Sample,No,No
LIFT project,Longitudinal Investigation of Cancer-related Fatigue and Its Treatment (LIFT Project),Recruiting,Observational,Cohort,,Probability Sample,No,No
2019-PVSEP,Drugs for the Treatment of Multiple Sclerosis and Risk of Cancer: a Pharmacovigilance Analysis in Vigibase,Unknown status,Observational,Case-Control,,Non-Probability Sample,No,No
002.1,Telegenetics or In-Person Genetic Counselling,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
LIFT,Longitudinal Investigation of Cancer-related Fatigue,Withdrawn,Observational,Cohort,,Probability Sample,No,No
2767,The Role of Vitamin D in Predicting Response to Neoadjuvant Therapy in Patients With Rectal Cancer,Recruiting,Observational,Cohort,2 Years,Probability Sample,No,No
