ID,Study_Type,Arm_Group_Type,Intervention_Type,Interventional_Study_Model,Observational_Study_Model,Target_Duration,Sampling_Method,Phase
18-217,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
ACE-Breast-06,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
ONC-010,Observational,,Other,,Case-Only,6 Years,Non-Probability Sample,
CHLOBREASTASP,Interventional,Placebo Comparator,Drug,Parallel Assignment,,,,"Phase 2, Phase 3"
CLEE011AFR01,Observational,,Other,,Cohort,,Non-Probability Sample,
CTO-IUSCCC-0781,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Phase 2
TT420X2101,Interventional,Experimental,Drug,Sequential Assignment,,,,Phase 1
201808046,Interventional,Experimental,Radiation,Single Group Assignment,,,,Not Applicable
178-2018,Observational,,Diagnostic Test,,Cohort,5 Years,Probability Sample,
OMC2018/01,Observational,,,,Cohort,,Non-Probability Sample,
HS-10352-102,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
Versión 4- 20/09/2020,Interventional,Other,Drug,Single Group Assignment,,,,Phase 4
CSPC-KAL-BC-16,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
REaCT-Wellness,Interventional,Active Comparator,Other,Parallel Assignment,,,,Phase 4
NEXT-BRCA,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
AB PoC 2021 RUS,Observational,,Diagnostic Test,,Case-Control,,Non-Probability Sample,
MedOPP167,Interventional,Active Comparator,Drug,Parallel Assignment,,,,Phase 2
LPM-008,Interventional,Other,Combination Product,Sequential Assignment,,,,Phase 3
DATOS-20220624-ASJF-Efecto car,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
2019.444,Observational,,Diagnostic Test,,Case-Only,,Probability Sample,
NSABP FB-13,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
202207198RINB,Interventional,Experimental,Procedure,Parallel Assignment,,,,Not Applicable
FZPL-Ⅲ-303,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 3
SYSUCC 019,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
BCSPilot01,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
2014CB543202-03,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
578-21-FB,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
1107210020,Observational,,,,Other,,Probability Sample,
107CS-6,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
BRE 381,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
IRB00048455,Observational,,Procedure,,Cohort,,Non-Probability Sample,
2022-009,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 3
CCR5654,Observational,,Other,,Other,,Non-Probability Sample,
KCT 005,Interventional,Experimental,Device,Single Group Assignment,,,,Not Applicable
2022-YXZX-YX-08,Observational,,Other,,Case-Control,,Non-Probability Sample,
G1T28-212,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
SCHBCC-NO28,Interventional,Experimental,Diagnostic Test,Single Group Assignment,,,,Not Applicable
PI-2021-3,Interventional,Active Comparator,Other,Parallel Assignment,,,,Not Applicable
ID-RCB 2022-A01488-35,Interventional,No Intervention,Device,Crossover Assignment,,,,Not Applicable
MA-BC-Ⅱ-021,Interventional,Experimental,Procedure,Parallel Assignment,,,,Phase 2
2021-KY-124-001,Interventional,Experimental,Procedure,Single Group Assignment,,,,Not Applicable
NCKUH SLNB,Observational,,Procedure,,Case-Only,5 Years,Non-Probability Sample,
DFP22-0020,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
CCM 1505,Interventional,Other,Diagnostic Test,Single Group Assignment,,,,Not Applicable
PER.CIN.BN.95.III,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 3
21-5021,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 3
C4891006,Interventional,Experimental,Drug,Sequential Assignment,,,,"Phase 1, Phase 2"
2021-0840,Interventional,Experimental,Other,Single Group Assignment,,,,Not Applicable
OV-121,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
042110,Interventional,Active Comparator,Drug,Single Group Assignment,,,,Early Phase 1
BC-09638,Interventional,Active Comparator,Drug,Parallel Assignment,,,,Phase 4
LB1802,Observational,,,,Case-Only,5 Years,Non-Probability Sample,
2018-0601,Interventional,Placebo Comparator,Drug,Parallel Assignment,,,,Phase 3
D967JC00002,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 1
UKM14_0016,Interventional,Experimental,Diagnostic Test,Parallel Assignment,,,,Not Applicable
RJBC-HFRNI,Interventional,Experimental,Radiation,Parallel Assignment,,,,Phase 3
m-VCAP1,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
19-133,Interventional,Experimental,Behavioral,Crossover Assignment,,,,Not Applicable
CLEE011A2206,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
CASE3118,Interventional,Experimental,Device,Single Group Assignment,,,,Not Applicable
2020(55),Interventional,Experimental,Radiation,Parallel Assignment,,,,Not Applicable
WO40324,Interventional,Active Comparator,Drug,Parallel Assignment,,,,Phase 3
Geneplus2020BC01,Observational,,,,Case-Only,,Non-Probability Sample,
ML39208,Interventional,Experimental,Device,Single Group Assignment,,,,Phase 2
18/028,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
19-005860,Observational,,Procedure,,Cohort,,Non-Probability Sample,
A231701CD,Interventional,Active Comparator,Other,Crossover Assignment,,,,Not Applicable
FDRT-BC017,Interventional,Active Comparator,Radiation,Parallel Assignment,,,,Phase 3
AC699-001,Interventional,Experimental,Drug,Sequential Assignment,,,,Phase 1
2020-495,Interventional,Active Comparator,Drug,Parallel Assignment,,,,"Phase 2, Phase 3"
CTRIAL-IE 17-13,Interventional,Other,Drug,Single Group Assignment,,,,Phase 1
00005038,Interventional,Active Comparator,Other,Parallel Assignment,,,,Not Applicable
H-43432,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
2020-010,Observational,,Other,,Cohort,,Probability Sample,
Contralateral Screening,Observational,,,,Cohort,,Non-Probability Sample,
HCRN BRE18-334,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
ACT16105,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
OSU-22013,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
I-3364822,Interventional,Active Comparator,Other,Parallel Assignment,,,,Not Applicable
ICO-N-2019-04,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
2007-206-1145,Observational,,,,Cohort,2 Years,Non-Probability Sample,
20140299,Interventional,Experimental,Biological,Single Group Assignment,,,,Phase 1
2019.629,Observational,,Other,,Cohort,,Probability Sample,
CS003-BC,Interventional,Placebo Comparator,Drug,Sequential Assignment,,,,Phase 2
2020-005722-28,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
EORTC-1617-QLG-BCG,Observational,,,,Cohort,,Non-Probability Sample,
MD-127-2019,Interventional,Active Comparator,Drug,Parallel Assignment,,,,Phase 2
2020-07-064-002,Interventional,Experimental,Procedure,Single Group Assignment,,,,Not Applicable
UC-BCG-2204,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 3
PYHOPE-BC-104,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
TMZ-TNBC,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
STUDY-20-01174,Interventional,Experimental,Behavioral,Single Group Assignment,,,,Not Applicable
SIM-1907-02-SERD-101,Interventional,Experimental,Drug,Sequential Assignment,,,,Phase 1
20-151,Interventional,Experimental,Procedure,Single Group Assignment,,,,Not Applicable
RJBC-SHF RNI,Interventional,Experimental,Radiation,Single Group Assignment,,,,Not Applicable
YOUNGBC-17,Observational,,,,Cohort,,Non-Probability Sample,
HREBA.CC-21-0429,Interventional,Active Comparator,Behavioral,Parallel Assignment,,,,Not Applicable
Metastatic Breast Cancer,Observational,,,,Cohort,3 Years,Non-Probability Sample,
UW17107,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
NL63209 041 18,Interventional,Experimental,Radiation,Single Group Assignment,,,,Phase 2
KCSG BR19-15,Observational,,,,Case-Only,,Non-Probability Sample,
2020-AHL-001,Interventional,Experimental,Combination Product,Single Group Assignment,,,,Phase 1
SAMuhammad,Interventional,Active Comparator,Drug,Single Group Assignment,,,,"Phase 2, Phase 3"
202201100,Interventional,Experimental,Other,Single Group Assignment,,,,Not Applicable
2019-A02195-52,Interventional,Experimental,Other,Single Group Assignment,,,,Not Applicable
ShantouCH02,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
PekingUPH10B003,Interventional,Experimental,Drug,Single Group Assignment,,,,"Phase 1, Phase 2"
GE-280-401,Observational,,Drug,,Cohort,,Non-Probability Sample,
CTMS# 19-0028,Interventional,Experimental,Dietary Supplement,Parallel Assignment,,,,Not Applicable
NEO-01,Interventional,Experimental,Device,Sequential Assignment,,,,Not Applicable
NL58040.091.16,Interventional,Experimental,Device,Single Group Assignment,,,,Not Applicable
LQ006,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
MCC-19-15740,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
K180603J,Interventional,Experimental,Other,Single Group Assignment,,,,Not Applicable
ABLE02,Interventional,Experimental,Device,Parallel Assignment,,,,Not Applicable
MCC-21-BRE-54,Interventional,Experimental,Drug,Sequential Assignment,,,,Phase 2
CLEE011A3201C,Interventional,Active Comparator,Combination Product,Parallel Assignment,,,,Phase 2
2/108/7,Interventional,Experimental,Other,Single Group Assignment,,,,Not Applicable
EOC202A1101,Interventional,Experimental,Biological,Single Group Assignment,,,,Phase 1
HUM00140468,Interventional,Active Comparator,Other,Parallel Assignment,,,,Not Applicable
18-2562.cc,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
19-586,Interventional,Experimental,Behavioral,Single Group Assignment,,,,Not Applicable
2014CB543202-02,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
CER2021,Observational,,Diagnostic Test,,Cohort,,Probability Sample,
IB 2017-05,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Phase 3
On4Rehab Pilot Trial,Interventional,Active Comparator,Other,Parallel Assignment,,,,Not Applicable
IIT-0005,Interventional,Experimental,Dietary Supplement,Parallel Assignment,,,,Phase 2
PROTECT,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
MD 134/2022,Observational,,,,Cohort,,Non-Probability Sample,
NCC2129,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
001,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
SYSU-CSCO-2020,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
IRB18-0970,Interventional,Other,Procedure,Single Group Assignment,,,,Not Applicable
2019-09-023,Interventional,Placebo Comparator,Procedure,Single Group Assignment,,,,Not Applicable
Shengjing-LCG004,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 3
A5481093,Observational,,,,Case-Control,,Probability Sample,
MedOPP168,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
LUN_DBT_121,Observational,,Radiation,,Cohort,,Probability Sample,
I239,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
IRB00158622,Interventional,Active Comparator,Other,Factorial Assignment,,,,Not Applicable
RFTMBCPW,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 4
s63338,Interventional,Active Comparator,Other,Parallel Assignment,,,,Not Applicable
2017-0071,Interventional,Experimental,Drug,Single Group Assignment,,,,"Phase 1, Phase 2"
2019/00283,Observational,,Other,,Case-Control,,Non-Probability Sample,
20200628GD,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
ANLO-BC,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
SHR-A1811-III-306,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 3
REO 028,Interventional,Active Comparator,Drug,Parallel Assignment,,,,Phase 2
LQ007,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
2019-KY-049,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
D9268C00001,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 3
ET17-203 DISCO,Interventional,Experimental,Device,Factorial Assignment,,,,Not Applicable
GO 22/41,Observational,,,,Other,,Probability Sample,
YOUNGBC-16,Observational,,,,Cohort,,Non-Probability Sample,
07068-02,Observational,,,,Cohort,1 Day,Probability Sample,
EC/2017/0200,Interventional,Experimental,Diagnostic Test,Single Group Assignment,,,,Not Applicable
99mTc-DARPinG3 breast cancer,Observational,,Drug,,Cohort,,Non-Probability Sample,
200277,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 1
CFT / sp123,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
2021-1201,Interventional,Experimental,Diagnostic Test,Single Group Assignment,,,,Phase 2
FDRT-BC012,Interventional,Experimental,Radiation,Single Group Assignment,,,,"Phase 1, Phase 2"
99mTc- RM26,Interventional,Experimental,Diagnostic Test,Parallel Assignment,,,,Phase 1
2103254164,Interventional,Active Comparator,Drug,Parallel Assignment,,,,Phase 2
MA-BC-II-026,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
OBU-BC-II-079,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
BCD-178-2,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 3
YOUNGBC-24,Observational,,Drug,,Cohort,,Non-Probability Sample,
AAAT4412,Interventional,Experimental,Procedure,Single Group Assignment,,,,Not Applicable
SHR6390-Ib/II-201,Interventional,Experimental,Drug,Single Group Assignment,,,,"Phase 1, Phase 2"
N19MIM,Interventional,Experimental,Biological,Parallel Assignment,,,,Phase 2
CA209-7A8,Interventional,Experimental,Biological,Parallel Assignment,,,,Phase 2
CFT/sp123,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
EVER-132-002,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 3
KY20192081-F-1,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 4
AC682-001,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
ATOS-Z-201,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
UC-0140/1711 - UCBG3-06,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
2018-05-0155,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
SBU-PCWRT-BREAST,Interventional,Experimental,Radiation,Single Group Assignment,,,,Early Phase 1
2021.240,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
YOUNGBC-6,Observational,,,,Cohort,,Non-Probability Sample,
HNCH-BC008,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 3
PLATO study,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
PI20/596,Observational,,,,Cohort,,Non-Probability Sample,
SCBCG-022,Observational,,Drug,,Cohort,,Probability Sample,
RSRB00066846,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
HERMIONE-10,Observational,,,,Cohort,,Probability Sample,
KC19EESI0325,Interventional,Experimental,Device,Single Group Assignment,,,,Not Applicable
16-007764,Interventional,Other,Diagnostic Test,Single Group Assignment,,,,Not Applicable
18-621,Interventional,Experimental,Drug,Sequential Assignment,,,,Phase 1
STOP-BC Trial,Interventional,Active Comparator,Drug,Parallel Assignment,,,,Phase 2
IRB-59141,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
SYSU005,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
ZN-c5-002,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
Fudan University,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 3
18-8214-BO,Interventional,Experimental,Procedure,Parallel Assignment,,,,Not Applicable
B00157,Observational,,Procedure,,Cohort,,Probability Sample,
1711-048-898,Interventional,Experimental,Diagnostic Test,Parallel Assignment,,,,Not Applicable
2021-A03091-40,Interventional,Experimental,Other,Single Group Assignment,,,,Not Applicable
HR-BLTN-001,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
A5481166,Observational,,Drug,,Cohort,,Non-Probability Sample,
D081CC00012,Observational,,,,Cohort,,Non-Probability Sample,
Luminal A sirt1,Observational,,,,Cohort,,Non-Probability Sample,
DokuzEU.Com.Garments,Observational,,,,Other,,Non-Probability Sample,
P.T.REC/012/002968,Interventional,Active Comparator,Device,Parallel Assignment,,,,Not Applicable
IIT-2021-ASSET,Interventional,Experimental,Drug,Sequential Assignment,,,,Phase 1
MC200302,Observational,,Procedure,,Case-Only,,Non-Probability Sample,
4-2020-1131,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
145358,Interventional,Experimental,Drug,Single Group Assignment,,,,"Phase 1, Phase 2"
UMCC 2018.016,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
TP.102.17.22.PAR,Interventional,Experimental,Device,Single Group Assignment,,,,Not Applicable
EFC15935,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 3
BC-NEO-IIT-SHR6390,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
GDWCH-001,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
S2010,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
SMC-2018-10-062,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
